rank,graph6,alpha,theta_scs,delta_scs,edges,pr_scs,status_scs
7168,GCZMZw,3,3.0,0.0,15,1.0843218695878678e-12,optimal
7169,GCZMZ{,3,3.0,-0.0,16,6.217248937900877e-14,optimal
7170,GCZM[{,3,3.0,0.0,15,5.5383891870213405e-18,optimal
7171,GCZM\[,3,3.0,-0.0,15,2.3782006290648667e-15,optimal
7172,GCZM\k,3,3.0,0.0,15,2.6645352591003757e-15,optimal
7173,GCZM\{,3,3.0,-0.0,16,3.6415315207705135e-14,optimal
7174,GCZM][,3,3.0,-0.0,15,1.6818310200521782e-13,optimal
7175,GCZM]k,3,3.0,0.0,15,4.88581498390954e-14,optimal
7176,GCZM]w,3,3.0,-0.0,15,8.176327033014423e-13,optimal
7177,GCZM]{,3,3.0,0.0,16,1.607213697906819e-14,optimal
7178,GCZM^K,3,3.0,-0.0,15,3.394374979177811e-15,optimal
7179,GCZM^[,3,3.0,-0.0,16,1.2867695706735191e-14,optimal
7180,GCZM^k,3,3.0,0.0,16,1.583887428294776e-14,optimal
7181,GCZM^w,3,3.0,-0.0,16,9.928871801053892e-14,optimal
7182,GCZM^{,3,3.0,0.0,17,9.840094503950214e-15,optimal
7183,GCZMjw,3,3.0,0.0,15,1.324751230046323e-15,optimal
7184,GCZMj{,3,3.0,0.0,16,1.157073128687587e-18,optimal
7185,GCZMlw,3,3.0,0.0,15,1.4602795660324742e-15,optimal
7186,GCZMl{,3,3.0,-0.0,16,1.7763568394002505e-15,optimal
7187,GCZMmk,3,3.0,-0.0,15,3.34370287451698e-15,optimal
7188,GCZMmw,3,3.0,0.0,15,1.486234376643081e-14,optimal
7189,GCZMm{,3,3.0,0.0,16,1.3322676295501878e-15,optimal
7190,GCZMnS,3,3.0,0.0,15,1.4344852627651786e-14,optimal
7191,GCZMnW,3,3.0,0.0,15,8.881784197001252e-16,optimal
7192,GCZMn[,3,3.0,-0.0,16,1.1102230246251565e-15,optimal
7193,GCZMnc,3,3.0,0.0,15,2.3647750424515834e-14,optimal
7194,GCZMng,3,3.0,0.0,15,3.3468995586305286e-14,optimal
7195,GCZMnk,3,3.0,-0.0,16,2.9119523458195884e-16,optimal
7196,GCZMno,3,3.0,0.0,15,3.3306690738754696e-16,optimal
7197,GCZMns,3,3.0,0.0,16,9.181544413650045e-14,optimal
7198,GCZMnw,3,3.0,0.0,16,4.667512156860555e-16,optimal
7199,GCZMn{,3,3.0,0.0,17,3.634280785891287e-13,optimal
7200,GCZMq{,3,3.0,-0.0,15,5.028628025658235e-15,optimal
7201,GCZMrw,3,3.0,-0.0,15,3.175237850427948e-14,optimal
7202,GCZMr{,3,3.0,0.0,16,3.679199987115405e-13,optimal
7203,GCZMt{,3,3.0,0.0,16,1.2656472652605858e-12,optimal
7204,GCZMuk,3,3.0,-0.0,15,6.350475700855895e-14,optimal
7205,GCZMus,3,3.0,-0.0,15,3.4891130602855888e-15,optimal
7206,GCZMuw,3,3.0,0.0,15,1.8716221242078036e-15,optimal
7207,GCZMvK,3,3.0,-0.0,15,7.359245185530494e-13,optimal
7208,GCZMvW,3,3.0,0.0,15,1.354472090042691e-14,optimal
7209,GCZMv[,3,3.0,-0.0,16,1.176836406102666e-14,optimal
7210,GCZMvc,3,3.0,-0.0,15,5.978821385013294e-13,optimal
7211,GCZMvg,3,3.0,0.0,15,1.4623282590058715e-12,optimal
7212,GCZMvk,3,3.0,-0.0,16,4.28059166413313e-14,optimal
7213,GCZMvs,3,3.0,0.0,16,4.440892098500626e-16,optimal
7214,GCZMvw,3,3.0,0.0,16,1.3450662528205753e-14,optimal
7215,GCZMv{,3,3.0,0.0,17,1.0613732115416497e-13,optimal
7216,GCZM}{,3,3.0,-0.0,17,6.661338147750939e-16,optimal
7217,GCZM~[,3,3.0,0.0,17,1.3877787807814457e-14,optimal
7218,GCZM~k,3,3.0,-0.0,17,1.3832480713267079e-12,optimal
7219,GCZM~s,3,3.0,0.0,17,7.749356711883593e-14,optimal
7220,GCZM~w,3,3.0,-0.0,17,4.063416270128073e-14,optimal
7221,GCZM~{,3,3.0,0.0,18,2.6867397195928788e-14,optimal
7222,GCZNJw,3,3.0,0.0,15,8.253742594701934e-14,optimal
7223,GCZNJ{,3,3.0,0.0,16,1.222628996180701e-13,optimal
7224,GCZNLk,3,3.0,0.0,15,3.853258036130251e-15,optimal
7225,GCZNLw,3,3.0,0.0,15,7.703170422894076e-14,optimal
7226,GCZNL{,3,3.0,-0.0,16,3.6555810927083964e-13,optimal
7227,GCZNMk,3,3.0,0.0,15,7.66298388885913e-14,optimal
